*blank-answer--------   5321 #001    N  10001     2     D DDEDEAAABDEBDABAEECDBBCDCAEDDDBDAAEEAABBCEDBDEACEEDCCDDEBD
720000006001020918001   5321 #001    N  10301     2     CBAEDEBBBDDDBBDDBAEEABADCADAEAADDDBAEEDEDBDDCCCEAEAEDDABEBDB
720000006001020918001   5321 #001    N  10302     2     EAEDAECEDDBCEAABECABCEDDBDACBDEBACCBCDEEEECDBCAABEEBBEABDDCB
720000006001020918001   5321 #001    N  10303     2     CCACEECDBECABBCDDDADCACBDDEDAAECAEDDBBDDBCACBADDAECDADAACDBA
720000006001020918001   5321 #001    N  10304     2     ACEEBCCBAEEEBDCCDBDDEACBEDDCBDDBCECDAAAAEEEBBEECBDCCBBADBDEA
720000006001020918001   5321 #001    N  10305     2     DDBCDCECDECBDDDBABEBEEBDEBBCBDBCDECCCCBDCAAABBABBDEEDCBADBAD
720000006001020918001   5321 #001    N  10306     2     AABEEDCBCCAEACEEDCADAEBACECEBEDABDDDBCBAABDACDEBDCEDBDECABDA
720000006001020918001   5321 #001    N  10307     2     DEBEDACBBBDDDACADEBBEACADADEBBEBECBBACAEDEDAEEDDBDABEAEAEDAD
720000006001020918001   5321 #001    N  10308     2     DBADEACDEADDCEAECEDEBABDCDECEDEADDCECAAACCABCCCADCBCCBADEBCD
720000006001020918001   5321 #001    N  10309     2     CCADBABDEEDBEDCADBEEBCCEECAACEEACAEBDEDBEDECDADBCCDADCCEADEE
720000006001020918001   5321 #001    N  10310     2     EDEDBBDCBACDECADACBDAACCDEBBADBBBDDCCCEEEBBEDBABBCCBDBCEACEC
720000006001020918001   5321 #001    N  10311     2     EDADBDBDEBECCDEBBBCCECAECEABBABBAEADBDAAEBADEAAADDDBECAAEACD
720000006001020918001   5321 #001    N  10312     2     ABDCEEDACACAADDBADBACCDECDBECBBCBEECDDEBECDDDBAEDBBBADBCACDC
720000006001020918001   5321 #001    N  10301     5     EDCBEEEACBEADDEBBBCBDADBCECBCBCBBEBBCCDCADBAEAEEECBEDEEADADAEBEDAEDCBEBCEACDACCBDDBBACCDBDCEDAEAEDAD
720000006001020918001   5321 #001    N  10302     5     DDEECCEADCECCDBCEBAEBBACCCBDDBDCEDCCAAAEEACCCDBACADAABECEDCDCDEDACCCBECEEACEABAEACBBCDAAEBDEAABCCDEB
720000006001020918001   5321 #001    N  10303     5     EADCDECBABEBDCEAAEDABCEEEECDCCEADCCDBDDAEBDBDDADBCAABEBDBBDECDAEDCEBACDACAAACDEEECBCDBCACDAAEAACBADD
720000006001020918001   5321 #001    N  10304     5     DDAEACDDCDADECDAEBDBBBDCDDADAAEBDEACCAAEACCEBAABCDAABBBCDCAAABADAECACAEDEBBDBDECCCBDDEEEEBBABEADECCE
720000006001020918001   5321 #001    N  10305     5     AACABBCBCBABCADECEABEBDDBCEDEEEEBBDAACDDAAEBADEEDCCBACCAAAAAEECAEBCABBCDBBEECBDDDEACDAACBEADECDAEABE
720000006001020918001   5321 #001    N  10306     5     EBDCECBEDAABBBEDAEBEEEEAEABECDBCBCEEECCADBBDCEABDCBCDDCEEADBACDBACCDCABAEBEEEACBDCBCBDBBBEACDEACCBCC
720000006001020918001   5321 #001    N  10307     5     DEEBADCBCDDAEBCAAEBDDDDCAAECCEDBBDDBADDABAAABBECEDCEBCCACBADCEBCDCCCBCEECACEDDCDDBDDCAAAEDEEBEBAADCE
720000006001020918001   5321 #001    N  10308     5     BCADDCCBDBDBEECCACBCDBEEDEBBDCEBADEAACEBBCECEACACACCBABEAAABAABDACDDECDDBBABDADBCBCEEABECDABDDDECCDD
720000006001020918001   5321 #001    N  10309     5     EADBAEBAECBCBBBDBCABCCAECBAADABEBECEBEECBBBEBBECBEAAACDECEAECDEEAEEACEECBEABCEBBEBDBBBDAACCADECBDCCC
720000006001020918001   5321 #001    N  10310     5     BEECDBEBDEBABBABAEDEEADCBDDECAECBBDBDDDBDDBBDEADABDCDBDACBBAEEDABBABDACEBBDBDCEDBDBBECAAAACDCBCECECE
720000006001020918001   5321 #001    N  10311     5     CCBACBDAEDBEDEAABABACBBBACAEBBECCACADEDCDEEECBCAAACAEACCDCBCCCCDADCDACCDBDAEAEAACCCAAACDCDCBEDDBBEAD
720000006001020918001   5321 #001    N  10312     5     ABDECAECBEADCEDDDEBEDADCECADDDCDCCDCECDDDADBACCEDCACDBCEABCBCEABCBEADDDACBCCEEBBAAAABBACAEDDDCCEBBCB
720000006001020918001   5321 #001    N  10401     2     CADEEBADDEBECAACBECBDAEEACCDDBCEDABAEAEBADDBCEAEABDECDAADEED
720000006001020918001   5321 #001    N  10402     2     DCEEEBBAEEDDDDDEAABCADDDEDEBEECCDBACCBECADBEEDDAEBDDEBCEEEDE
720000006001020918001   5321 #001    N  10403     2     CCDCDBABDCECBADEAAADBCCEBCCECCDECEBEDBEBDCECEAECCCBEEAABEADB
720000006001020918001   5321 #001    N  10404     2     ADCDCBAEEEEDCDDABDCAECECDEABEBAECDCDBBDEEAECECDBBEAEECCCDDAC
720000006001020918001   5321 #001    N  10405     2     BBBDBDEBBDBECDDDEEBAAACEDEECBDCDCDEBEAAAAEBCDDACBABAEACEADED
720000006001020918001   5321 #001    N  10406     2     BEEDEECBBDBCECBCCEEDDCECBCBCBEABEACEDCDDBDDCBDBBEAAEDBEBCCBB
720000006001020918001   5321 #001    N  10407     2     DBDEABBEABEDECEDEAACDABDBADBDCBACCBECEBDCDDDAADABCAACCEDEACA
720000006001020918001   5321 #001    N  10408     2     DCDCEDEBCBDABBDDCADDEDEBEEBBCBCDBEABBBDEABBBEACADDAAECCDBAEE
720000006001020918001   5321 #001    N  10409     2     EEEEBABDDACEABCDEADCABCABEECACEBAEEBDCCBADEDEBDAEAEDBBCDDEAD
720000006001020918001   5321 #001    N  10410     2     EDDEEEAABDBDACAABDACEECAEACACBBCBADCCCDACDECCBBEBEDAADABEEEB
720000006001020918001   5321 #001    N  10411     2     DDCECEAECABBCABACEBECEBDCAAAADEACCBEEEBBDADDCCCDAECECCACADEC
720000006001020918001   5321 #001    N  10412     2     CAABDBCBCDEACEEBCABDAECEBBBBBAAAEDACABCCBEABECABAEACBEDDACEE
720000006001020918001   5321 #001    N  10401     1     CBCCBCEBEBDBCDADDCBBDCADCBABDDBCCBAEBCEBEBBBEDEABABBDBEACEDECCBDAADEBDEEEEBDEDCAEAADDBDDECBCBADDACCC
720000006001020918001   5321 #001    N  10402     1     BBCEADDDACAADDBAACCDCCDACEEEDACEDAEEEDBEDCCECACBBDADDBCACCEEDCAABBECACCDCBDEDEBBEEBDEBCDADDBEDCEBEBC
720000006001020918001   5321 #001    N  10403     1     BABAACDCCDDEABEDCBCCDAADECBEEBCCEEDACBDBDBCAEBEDEAEABDEBECDECCACACBEADCBDCDAEDEEBBACBDDDEAAEEBDBABEC
720000006001020918001   5321 #001    N  10404     1     EDAACCAAEADDDEAEBDBEDEACBCEDBEEAACEACDDACACCBBDAEBCBEECCDDBCBDCACACBDBDDDAEAECAEDCCECBCEDACEEDCDDCBD
720000006001020918001   5321 #001    N  10405     1     DEDABEDEACDECEAEBCCCDCCBEBBDECBCDBCBBCEBEACDCAEEBBBDBBCEDCDCCCDACAEBAEBECEEDBBCAEBCBEEDECADEBBCDBEAA
720000006001020918001   5321 #001    N  10406     1     ABBCBCAABCECDCBBCCBDEEECABDAACABEEBDCDCEABCBDECDEBDAADEDDADAACECADAADCABBBBABEDBCDABEABEAEACACAEDCCB
720000006001020918001   5321 #001    N  10407     1     DCADEACBACACEADBBEDDCCACBBCEADBACDBBCDCBEDBDCDDDEEDEABDCDBCAABDCCEDCBDBDBAAEBBDDDBCEBADAEDBEBECEBBEE
720000006001020918001   5321 #001    N  10408     1     BBDDDEAEABBCDECAECEBBAEEECCDBBCBCCEABBBCAECBACBEEBDECAEEDBBBBCCBDDDBAABDCBAAADBADEABCBDAEAABBECABCAE
720000006001020918001   5321 #001    N  10409     1     AEDCACECBBDBEEAEDBCDECEECBBDACDECADACBDEADDCBAAEECCBBDECCEAABCEBDDACAEBBEEAADEEBBBADBBBEEDBECABABDED
720000006001020918001   5321 #001    N  10410     1     EDBDEEEBEABDCBBCADBEEEBBEACCCEAAADCBBBECDCBDBDAAAABAABEBAEBDEAACDEEAABACECCACBBDEDEDAEADCCCDADBEBBBB
720000006001020918001   5321 #001    N  10411     1     DDDCCDCBCDDBBDACCCEDAEABEBCBCDBDCADCACEEDBBBBCDBEDCBABECAEEDCCADAEAEABCABEEDCDDCABCBCDBEABDACDCEACAC
720000006001020918001   5321 #001    N  10412     1     CEEBBADBAABDDADCBBAABADADEADABEEBCAEAAEEAEECACEABDBECEABABAECDBBEDCBACDEBACBEDCBCAAEAAEBBBEACAEBECED
720000006001020918001   5321 #001    N  10501     2     ACDBCAAEBDBCEBCDEEDDCDDEBCDEABBDDDDCECDEADAEACBACACDDBADBAAD
720000006001020918001   5321 #001    N  10502     2     CBBEDCEDEAAEDBDABBCBCABCCBDEEDDDEECECBCCCADCDABDAEEDACAEDAEB
720000006001020918001   5321 #001    N  10503     2     AADBEBEBADCBBCECCDBCBEDABCAEABADAEDCCDECDDAEECEBDEACEADABBBD
720000006001020918001   5321 #001    N  10504     2     ECBDBDDDBBBAEDBCABBBDABCEDCABDAEBEDCEBACADACCBBCBDEEEBEDBBDD
720000006001020918001   5321 #001    N  10505     2     DEDDECBBDEEBDAABAAEEDBEDCCDBEBDEEEABBECEDADCACCBBECACEEEDEBE
720000006001020918001   5321 #001    N  10506     2     ACEEBADCADBCDAEBCAABDDABDEBAAADCBCABADEBEBDCADBCDACBCBDADDEA
720000006001020918001   5321 #001    N  10507     2     CDDDCADEBDBCEEECEDEDADBDECCEBAADCEABBDCCBDECAEADCBBABABCECDD
720000006001020918001   5321 #001    N  10508     2     BEBCDCDEBBCCACACABEBACBDADDDAAEDCDAEBAECCEBCDABEECCBECEABECC
720000006001020918001   5321 #001    N  10509     2     EEDDDCEDCEAEAAABBCCEABACDBCCCBCCEEBEEAADCDEEADAEDDCBCDDEBDBB
720000006001020918001   5321 #001    N  10510     2     CEAAAABEBEBACEDEBBABDAECBEACABDDCABCEDCBADBBBECBDCCBAABAECBD
720000006001020918001   5321 #001    N  10511     2     BBABBDCCAAEECAEBCDAEBBCBBECEDDABCAAEBCBDBBCBAECBBEDEEACECEEA
720000006001020918001   5321 #001    N  10512     2     EBBACDDADBBBDACADAABABABACEAEBACACBDDAACDAEDEBCEAEEDCCDDEBCE
720000006001020918001   5321 #001    N  10501     3     EAECAABDACACBDCCBCDADCCDEBBAABBCCECECCDB
720000006001020918001   5321 #001    N  10502     3     CDEBDBCCEEEBCBCACABEEBEBBBEBCEEDDEECBCED
720000006001020918001   5321 #001    N  10503     3     BEBBBDCCAADDEEEEAEBACDCCCACCEECBAAAADBBB
720000006001020918001   5321 #001    N  10504     3     DCEABBAABCEDDCABDECEEEBADBEAEBEBBAEACBAC
720000006001020918001   5321 #001    N  10505     3     CCCDAADCDECABEAADACDDBDAEBCEBCDDAEADBCAE
720000006001020918001   5321 #001    N  10506     3     DBCEECEDEDCAEBACBBEAAEBAACBCBDBAECCEACED
720000006001020918001   5321 #001    N  10507     3     DCABCCADCEAAEDAADDABECDDADAECDABCBCDCAEB
720000006001020918001   5321 #001    N  10508     3     CBCCBECAEEDDACCBBDEAADDCEBBCCEACADAADBDC
720000006001020918001   5321 #001    N  10509     3     BEBAACCCBEAADAAEEABBAEBADDADEECCCCDBCECA
720000006001020918001   5321 #001    N  10510     3     AAAEBDAECDCADCBCAABCAADBCCBBECACABDADBEC
720000006001020918001   5321 #001    N  10511     3     EBEDDDBCEDDAEADEBAABDAAADCDCBDBDBDBDECAD
720000006001020918001   5321 #001    N  10512     3     BCABABDBCCDBACAECBBDCCADABAABDACDCAADCCC
720000006001020918001   5321 #001    N  34105     3     DDBACBDACDCECAADCDCCDECBDECBBEEECCDAEAED
720000006001020918001   5321 #001    N  34105     2     BCBCEBAAEABEACCBDBEDCEBABDAEACAEACBEDDCDEEEBAEEABBEBBEBBDABD
720000006001020918001   5321 #001    N  32602     1     BDEADBCDCEDBCBACCDBBADEAEECEAACCDCCDDBADCDBDBEBEEAACCCDADADCBEACAAEABAECEEAEBBBCECBEBCBEDEABDCADEEBC
720000006001020918001   5321 #001    N  32602     5     DCDECCCDBEBACCEEDBCEBEDEAEDBDAEEDEBBDBBEEDCEECCDCDDBCDCDDECBDABDCDCEBDAEDAACEBCBBCCBABEAEBAEBEDEEBAC
720000006001020918001   5321 #001    N  26210     1     BDDEAEDEEEDDACDCECDACDBDCCDABAEADDBADAEABDBABEAEABDBBECBECCDEECBCEDBDEEDBCCAADABADBAEAAAACCDEEDECDCE
720000006001020918001   5321 #001    N  26210     5     ECCAEEAEDBEDEDBBCACCACEEEDAADCAAEBAACEEDECEDAAADACABEEECBBBAACEDEEDBBDADAEACDECACAEBECDCAEAEBBEAAEDA
720000006001020918001   5321 #001    N  13604     2     BABBDEEDDABEDAEEABAEDBBBEAAECECDBEBADBEDDCBCDCEABBABDCEECDCC
720000006001020918001   5321 #001    N  13604     1     DECEDCDEBCACEDEDCABCCEAAAEBBAEBAEDBCCCBBBBBDCDECEEBDCCDBABAADCCEBCCBBEDEEAAECEACAABCCADDBCBCBEEBAACA
720000006001020918001   5321 #001    N  21611     2     BDBDDDAADCEEDDCEAADDCCEBCBECCDADACBDDADBCAAEBACCAAACCAEAEDEE
720000006001020918001   5321 #001    N  21611     4     BDCCCEABBDBBCCAEECBDDDCDABBBEDCCDDDEDEDDCBDEAADDABBABBCCDAAB
720000006001020918001   5321 #001    N  29309     3     EDAEBEBDACDDDABCACEEDDECEAAEADDBABABEDAC
720000006001020918001   5321 #001    N  29309     2     BCEDDEDCAABEEAEEAEADEACAEECCBEAADCAACDAACBDEAADDABBABBCCDAAB
720000006001020918001   5321 #001    N  29304     2     DDCCBEAAEAAACBEADAADBDAAEDCAAAACCDDEDDBBEABCCADDEBDCCBEBBCCB
720000006001020918001   5321 #001    N  29304     4     EBDADACBADCCBCCAECAADDBCEEACDACAABDDEECDCDDDCACCBBDBBDDAAEDD
720000006001020918001   5321 #001    N  32708     5     BBBEADEBDEABEDCEEBDDECBBCAEAACCEAACACBEBDEABABABCAECCADCDDCBDAECAEEDBBECEBCEDABAADDEBDDEBDCABECADACA
720000006001020918001   5321 #001    N  32708     2     AECBDADADEEADEEACCAEEBCBAEAEACBCAEADDACDCACDCADADBBADABDDBEE
720000006001020918001   5321 #001    N  34411     2     BBEABACACCCADDEAAADCDCDBBEBACAEDBBEEDEDCADADBCEDBEBEDDDBADDC
720000006001020918001   5321 #001    N  34411     1     AACABAEEECEDAEEAACEEACBEEBCAEADDEABCBDEDCDAADCABBEDAADCDAEDCBECDEEACDEBDEBEBDBDABDDEEBDADDBCCAACEBDD
720000006001020918001   5321 #001    N  25310     2     CECCEADCCDECEDCBEACCCDAADBCCAEDCEABCBCDBDEACCADACCEABECCEABA
720000006001020918001   5321 #001    N  25310     5     EBECAEBADEEEBBBBDEEAECBAACABAADCBDEEBDACADCEDCBECECDDBDCDDAEDACAEADCBBCEEEDDBCCDBEEAABECDEDCEBDCCBAC
720000006001020918001   5321 #001    N  14303     1     AEEABBBCCDAEEDDCAAAABEEDADECBABBBBEDBDEECBBDBCACCAEACEAEDEAEDBBCBADCDBEDABDADEDACCACCAAACADDABDAAEBD
720000006001020918001   5321 #001    N  14303     5     CEAEBABCBBDBEDEEDCCABEBCBBABCCCBEACBBBBDDADDEDDAECCACEDEEABABAAADCEDADCBAEDEDBDBEBAAAABAABAEDDEEECAD
720000006001020918001   5321 #001    N  13607     2     ADEDABEEEACABBADAEEEDCBECBBBBBECAECECCABCEDCAAACEBDEEBAAAAEA
720000006001020918001   5321 #001    N  13607     1     CEECCADACABECCEABDCDCAAEADDEDDDDBEDCAEBDCABEBEDBBCBEBADEECAAAADEEACABCBDCEBADBACBACCDCBBCBDDCDEADCCC
720000006001020918001   5321 #001    N  24301     3     DBCCBDBACDCEBCCCABDCCEAEAEDADCEEACDBBBCC
720000006001020918001   5321 #001    N  24301     2     CEEDAAADCCCBAADACEBEBBCBECDBEDEEADBCBDBCCBDEAADDABBABBCCDAAB
720000006001020918001   5321 #001    N  39303     5     ECBBBABEDCABCDACCBADAECECACDEDAAECABDAEEBECADBEBEBCDAACABBCDEDAECADEEEECEEECBBDBADDDCDDEDADCCDDEBDCB
720000006001020918001   5321 #001    N  39303     2     EABECBEACEABEAACEBDDDEDDAAEDCCAAAAABECBDADBAABBEADCCABADCEAB
720000006001020918001   5321 #001    N  27610     3     CBEBBEBCDDBACBCECDDCADDAAACCDDACCEBECCCD
720000006001020918001   5321 #001    N  27610     1     ACDEAEECDECABAADBDBEAAECCCCDACCEEEBDDACCAEACABCBBDCDBEBDDEAAABABCBEAEABDACEBDDAEBABABADCBBEDABAEACED
